1.00E-09	0.00E+00
2.15E-09	0.00E+00
4.64E-09	0.00E+00
1.00E-08	0.00E+00
2.15E-08	0.00E+00
4.64E-08	0.00E+00
1.00E-07	0.00E+00
2.15E-07	0.00E+00
4.64E-07	0.00E+00
1.00E-06	0.00E+00
2.15E-06	0.00E+00
4.64E-06	0.00E+00
1.00E-05	0.00E+00
2.15E-05	0.00E+00
4.64E-05	0.00E+00
1.00E-04	0.00E+00
2.15E-04	0.00E+00
4.64E-04	0.00E+00
1.00E-03	0.00E+00
2.15E-03	0.00E+00
4.64E-03	0.00E+00
1.00E-02	9.22E-04
1.25E-02	1.29E-03
1.58E-02	1.79E-03
1.99E-02	2.48E-03
2.51E-02	3.39E-03
3.16E-02	4.64E-03
3.98E-02	6.38E-03
5.01E-02	8.81E-03
6.30E-02	1.21E-02
7.94E-02	1.69E-02
1.00E-01	2.37E-02
1.25E-01	3.26E-02
1.58E-01	4.45E-02
1.99E-01	6.05E-02
2.51E-01	8.22E-02
3.16E-01	1.09E-01
3.98E-01	1.45E-01
5.01E-01	1.89E-01
6.30E-01	2.41E-01
7.94E-01	3.00E-01
1.00E+00	3.59E-01
1.25E+00	4.14E-01
1.58E+00	4.52E-01
1.99E+00	4.62E-01
2.51E+00	4.34E-01
3.16E+00	3.66E-01
3.98E+00	2.71E-01
5.01E+00	1.69E-01
6.30E+00	8.61E-02
7.94E+00	3.35E-02
1.00E+01	4.27E-03
1.58E+01	4.31E-04
2.51E+01	0.00E+00
3.98E+01	0.00E+00
6.30E+01	0.00E+00
1.00E+02	0.00E+00
1.58E+02	0.00E+00
2.51E+02	0.00E+00
3.98E+02	0.00E+00
6.30E+02	0.00E+00
