0.005	0.001921
0.015	0.00269
0.025	0.002756
0.035	0.002828
0.045	0.002853
0.055	0.002984
0.065	0.003065
0.075	0.003148
0.085	0.003232
0.095	0.003314
0.125	0.017916
0.175	0.019994
0.225	0.022021
0.275	0.023948
0.325	0.02579
0.375	0.027481
0.425	0.029038
0.475	0.030451
0.525	0.031695
0.575	0.032765
0.625	0.03366
0.675	0.034371
0.725	0.034899
0.775	0.035241
0.825	0.035397
0.875	0.035373
0.925	0.035166
0.975	0.034783
1.025	0.034231
1.075	0.033513
1.125	0.032631
1.175	0.031607
1.225	0.030444
1.275	0.029152
1.325	0.027736
1.375	0.026218
1.425	0.024601
1.475	0.0229
1.525	0.021129
1.575	0.019306
1.625	0.017449
1.675	0.015575
1.725	0.013715
1.775	0.011925
1.825	0.010056
1.875	0.008328
1.925	0.006688
1.975	0.005158
2.025	0.003765
2.075	0.002545
2.125	0.001535
2.175	0.000755
2.225	0.000238
2.275	0.000017
